comparison_type,category,category2,feature,feature_value,proportion_cat1,proportion_cat2,difference,kl_divergence,js_divergence,chi_square_distance,hellinger_distance
category_vs_category,handicap,pet,accommodation_type,Lodge,0.0,0.0093,-0.0093,0.5745,0.0449,801154.0313,0.2307
category_vs_category,handicap,pet,accommodation_type,Motel,0.038,0.0741,-0.0361,0.5745,0.0449,801154.0313,0.2307
category_vs_category,handicap,pet,accommodation_type,Resort,0.0506,0.0093,0.0414,0.5745,0.0449,801154.0313,0.2307
category_vs_category,handicap,pet,accommodation_type,Student accommodation,0.0127,0.0,0.0127,0.5745,0.0449,801154.0313,0.2307
category_vs_category,handicap,child,accommodation_type,ApartHotel,0.0506,0.058,-0.0074,0.6385,0.0407,801153.8591,0.2243
category_vs_category,handicap,child,accommodation_type,Apartment,0.0633,0.1071,-0.0439,0.6385,0.0407,801153.8591,0.2243
category_vs_category,handicap,child,accommodation_type,Bed and Breakfast,0.0253,0.0312,-0.0059,0.6385,0.0407,801153.8591,0.2243
category_vs_category,handicap,child,accommodation_type,Camping,0.0,0.0045,-0.0045,0.6385,0.0407,801153.8591,0.2243
category_vs_category,handicap,child,accommodation_type,Farm stay,0.0,0.0089,-0.0089,0.6385,0.0407,801153.8591,0.2243
category_vs_category,handicap,child,accommodation_type,Guest house,0.038,0.0223,0.0157,0.6385,0.0407,801153.8591,0.2243
category_vs_category,handicap,child,accommodation_type,Holiday Park,0.0,0.0089,-0.0089,0.6385,0.0407,801153.8591,0.2243
category_vs_category,handicap,child,accommodation_type,Holiday home,0.0127,0.0089,0.0037,0.6385,0.0407,801153.8591,0.2243
category_vs_category,handicap,child,accommodation_type,Homestay,0.0,0.0045,-0.0045,0.6385,0.0407,801153.8591,0.2243
category_vs_category,handicap,child,accommodation_type,Hostel,0.0,0.0045,-0.0045,0.6385,0.0407,801153.8591,0.2243
category_vs_category,handicap,child,accommodation_type,Hotel,0.6835,0.5357,0.1478,0.6385,0.0407,801153.8591,0.2243
category_vs_category,handicap,child,accommodation_type,Inn,0.0253,0.0089,0.0164,0.6385,0.0407,801153.8591,0.2243
category_vs_category,handicap,child,accommodation_type,Lodge,0.0,0.0045,-0.0045,0.6385,0.0407,801153.8591,0.2243
category_vs_category,handicap,child,accommodation_type,Motel,0.038,0.058,-0.0201,0.6385,0.0407,801153.8591,0.2243
category_vs_category,handicap,child,accommodation_type,Resort,0.0506,0.1205,-0.0699,0.6385,0.0407,801153.8591,0.2243
category_vs_category,handicap,child,accommodation_type,Riad,0.0,0.0045,-0.0045,0.6385,0.0407,801153.8591,0.2243
category_vs_category,handicap,child,accommodation_type,Ryokan,0.0,0.0089,-0.0089,0.6385,0.0407,801153.8591,0.2243
category_vs_category,handicap,child,accommodation_type,Student accommodation,0.0127,0.0,0.0127,0.6385,0.0407,801153.8591,0.2243
category_vs_category,pet,child,accommodation_type,ApartHotel,0.0185,0.058,-0.0395,0.659,0.0765,428670.2009,0.2957
category_vs_category,pet,child,accommodation_type,Apartment,0.0556,0.1071,-0.0516,0.659,0.0765,428670.2009,0.2957
category_vs_category,pet,child,accommodation_type,Bed and Breakfast,0.0556,0.0312,0.0243,0.659,0.0765,428670.2009,0.2957
category_vs_category,pet,child,accommodation_type,Camping,0.0,0.0045,-0.0045,0.659,0.0765,428670.2009,0.2957
category_vs_category,pet,child,accommodation_type,Country house,0.0093,0.0,0.0093,0.659,0.0765,428670.2009,0.2957
category_vs_category,pet,child,accommodation_type,Farm stay,0.0,0.0089,-0.0089,0.659,0.0765,428670.2009,0.2957
category_vs_category,pet,child,accommodation_type,Guest house,0.0648,0.0223,0.0425,0.659,0.0765,428670.2009,0.2957
category_vs_category,pet,child,accommodation_type,Holiday Park,0.0093,0.0089,0.0003,0.659,0.0765,428670.2009,0.2957
category_vs_category,pet,child,accommodation_type,Holiday home,0.0185,0.0089,0.0096,0.659,0.0765,428670.2009,0.2957
category_vs_category,pet,child,accommodation_type,Homestay,0.0,0.0045,-0.0045,0.659,0.0765,428670.2009,0.2957
category_vs_category,pet,child,accommodation_type,Hostel,0.0093,0.0045,0.0048,0.659,0.0765,428670.2009,0.2957
category_vs_category,pet,child,accommodation_type,Hotel,0.5926,0.5357,0.0569,0.659,0.0765,428670.2009,0.2957
category_vs_category,pet,child,accommodation_type,Inn,0.0741,0.0089,0.0651,0.659,0.0765,428670.2009,0.2957
category_vs_category,pet,child,accommodation_type,Lodge,0.0093,0.0045,0.0048,0.659,0.0765,428670.2009,0.2957
category_vs_category,pet,child,accommodation_type,Motel,0.0741,0.058,0.016,0.659,0.0765,428670.2009,0.2957
category_vs_category,pet,child,accommodation_type,Resort,0.0093,0.1205,-0.1113,0.659,0.0765,428670.2009,0.2957
category_vs_category,pet,child,accommodation_type,Riad,0.0,0.0045,-0.0045,0.659,0.0765,428670.2009,0.2957
category_vs_category,pet,child,accommodation_type,Ryokan,0.0,0.0089,-0.0089,0.659,0.0765,428670.2009,0.2957
